"Original Text","ChatGPT","DeepL","Google","Comments","Initial choice","First editing pass","Proofreading"
"うひひー！

逃げ場はないぜ！","Uhuhu! 

There's no escape!","Whoo-hoo!

There's nowhere to run!","Uhihi!

There's no escape!","","Uhuhu! 

There's no escape!","Uhuhu! 

There's no escape!",""
"うっしゃ。

あみだくじで順番決めるか。","Alright. 

Shall we decide the order with a game of paper fortune-telling?","Okay...

Let's draw lots to decide the order.","Ugh.

Do you decide the order by amidakuji?","","Alright. 

Shall we decide the order with a game of paper fortune-telling?","Okay...

Let's decide the order with amidakuji.",""
"もう・・・！

また勝手に話を進めて・・・！","Enough...!

You're taking the conversation in your own direction again...!","Oh, no..!

You're talking on your own again..!
own direction again...!","already···!

Let's continue talking on our own...!
own direction again...!","not sure about this, either it's about the fox talking a lot or that they are going to use him again","Enough...!

You're taking the conversation in your
own direction again...!","Enough...!

You're talking to yourself again..!",""
".........?!",".........?!",".........?!",".........?!","",".........?!","",""
"お？","Huh?","What?","oh?","","Huh?","Huh?",""
"な、何？","Wha- What?","What is it?","What?","","Wha- What?","Wha- What?",""
"すごい音だな・・・。","That's an amazing sound...","That's an amazing sound...","It sounds amazing...","some weird phrase that MTL keeps translating to ""amazing sound"", occurs several times","That's an amazing sound...","This sound...",""
"お星さまでも落ちてきたみたいな・・・

おっきー音・・・。","It's like a shooting star has fallen... 

A loud noise...","It's like a star fell...

A big sound...","It's like the stars have fallen...

Oops...","","It's like a shooting star has fallen... 

A loud noise...","It's like a star came crashing...

Such loud noise...",""
"山の中腹の辺りからだ・・・","From the middle of the mountainside...","It's coming from halfway up the mountain.","It's from the middle of the mountain...","","From the middle of the mountainside...","It's coming from the middle of the
mountain.",""
"一体、何が・・・？","What on earth...?","What the hell is going on?","What on earth···?","","What on earth...?","What on earth...?",""
"私が様子を見てきますから・・・","I will go and check the situation, so...","I'll go check it out.","I'll see how it goes...","","I will go and check the situation, so...","I'll go and check this out, so...",""
"アズキさん。

皆さんをお願いします。","Azuki-san. 

Please take care of everyone.","Mr. Azuki.

Take care of everyone.","Azuki.

Please everyone.","","Azuki-san. 

Please take care of everyone.","Azuki-san. 

Please take care of everyone.",""
"・・・おう。","...Okay.","Oh.","···king.","","...Okay.","...Okay.",""
"えーっ！？

乱交はお預け？","What!? 

 Orgy is postponed?","What?

You're not going to hold the orgy?","Eh! ?

Do you want an orgy?","","What!? 

 Orgy is postponed?","What!? 

Orgy is postponed?",""
"いいから。

ちゃんと戸締りして下さいよ。","Never mind.

Please make sure to lock the door properly.","It's okay.

Make sure you lock up properly.","I don't mind.

Please close the door properly.","first sentence?","Never mind.

Please make sure to lock the door properly.","I don't mind.

Please make sure to lock the door 
properly.",""
"白念くん。

気を付けてねぇ。","White Nen-kun. 

Be careful, okay?","Shiranen-kun.

Be careful.","Shiranen-kun.

Take care.","","White Nen-kun. 

Be careful, okay?","Hakunen-kun.

Be careful, okay?",""
"...Yes.","...Yes.","...Yes.","...Yes.","","...Yes.","",""
